id,name,imageUrl,organizationId,createdAt,updatedAt
cm2gqrv6m0003hkite3geizq0,Rasmus Højlund,https://api.sofascore.app/api/v1/player/1086417/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:40:03.742,2024-10-20 02:40:03.742
cm2gqs7kl0005hkitjb9ij7bz,Bruno Fernandes,https://api.sofascore.app/api/v1/player/288205/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:40:19.797,2024-10-20 02:40:19.797
cm2gqt1h0000bhkit775lvae5,Marcus Rashford,https://api.sofascore.app/api/v1/player/814590/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:40:58.548,2024-10-20 02:40:58.548
cm2gqtf4j000dhkitefli9z7q,Alejandro Garnacho,https://api.sofascore.app/api/v1/player/1135873/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:41:16.243,2024-10-20 02:41:16.243
cm2gqwbqo000fhkiteaicbjrm,Casemiro,https://api.sofascore.app/api/v1/player/122951/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:43:31.824,2024-10-20 02:43:31.824
cm2gqwmzr000hhkitnwnv84oj,Joshua Zirkzee,https://api.sofascore.app/api/v1/player/917007/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:43:46.407,2024-10-20 02:43:46.407
cm2gqx4mj000jhkitnib7acv5,Christian Eriksen,https://api.sofascore.app/api/v1/player/105734/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:44:09.258,2024-10-20 02:44:09.258
cm2gqxf2q000lhkitoewa0zn5,Amad Diallo,https://api.sofascore.app/api/v1/player/971037/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:44:22.802,2024-10-20 02:44:22.802
cm2gqxvll000nhkitayh91617,Lisandro Martinez,https://api.sofascore.app/api/v1/player/859999/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:44:44.217,2024-10-20 02:44:44.217
cm2gqychw000phkitco16qa47,Matthijs de Ligt,https://api.sofascore.app/api/v1/player/803031/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:45:06.116,2024-10-20 02:45:06.116
cm2gqyxxe000rhkitjhof29zx,Noussair Mazraoui,https://api.sofascore.app/api/v1/player/847030/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:45:33.89,2024-10-20 02:45:33.89
cm2gqz8as000thkit55ru4odh,Harry Maguire,https://api.sofascore.app/api/v1/player/149380/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:45:47.333,2024-10-20 02:45:47.333
cm2gqziji000vhkitxt8c4v2q,Diogo Dalot,https://api.sofascore.app/api/v1/player/843200/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:46:00.606,2024-10-20 02:46:00.606
cm2gqzt4j000xhkith5eqwxde,Luke Shaw,https://api.sofascore.app/api/v1/player/190839/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:46:14.323,2024-10-20 02:46:14.323
cm2gr041n000zhkit9akq8jio,Leny Yoro,https://api.sofascore.app/api/v1/player/1153315/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:46:28.475,2024-10-20 02:46:28.475
cm2gr0irl0011hkit1j5zuocc,Victor Lindelöf,https://api.sofascore.app/api/v1/player/143334/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:46:47.553,2024-10-20 02:46:47.553
cm2gr0stb0013hkitbnwqby4w,Tyrell Malacia,https://api.sofascore.app/api/v1/player/825839/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:47:00.576,2024-10-20 02:47:00.576
cm2gr16700015hkit6ja8yszs,Jonny Evans,https://api.sofascore.app/api/v1/player/30144/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:47:17.915,2024-10-20 02:47:17.915
cm2gr1j2t0017hkitg6y716b8,André Onana,https://api.sofascore.app/api/v1/player/787498/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 02:47:34.612,2024-10-20 02:47:34.612
cm2h6067x0001rdfnbmy31d8p,Erik ten Hag,https://api.sofascore.app/api/v1/manager/53013/image,cm2gq1mke0000v19mzln58lmj,2024-10-20 05:46:25.533,2024-10-20 05:46:25.533
cm2qgpyo90002rztwugyaop4i,Paul Pogba,https://api.sofascore.app/api/v1/player/111802/image,cm2qgpdz90000rztw73nv2s1i,2024-10-26 17:56:20.552,2024-10-26 17:56:20.552
cm2qgr4u40008rztw8a6ye8nf,Thomas Frank,https://api.sofascore.app/api/v1/manager/94249/image,cm2qgqwcv0006rztw9xky484p,2024-10-26 17:57:15.196,2024-10-26 17:57:15.196
cm2qhltym002fhs1uy6qkgexr,José Mourinho,https://api.sofascore.app/api/v1/manager/53418/image,cm2qhlg68002dhs1udweop7ge,2024-10-26 18:21:07.437,2024-10-26 18:21:07.437
cm2qlmotl00056ez7lsgh5rny,Pep Guardiola,https://api.sofascore.app/api/v1/manager/53463/image,cm2gq1zah0001v19m7ekt1tzm,2024-10-26 20:13:45.896,2024-10-26 20:13:45.896
cm32c1ryb000lk56mbptp6h1c,Ruud van Nistelrooy,https://api.sofascore.app/api/v1/player/753/image,cm2gq1mke0000v19mzln58lmj,2024-11-04 01:18:47.704,2024-11-04 01:18:47.704
cm32c2my5000nk56m50gd118g,Rúben Amorim,https://api.sofascore.app/api/v1/manager/794090/image,cm2gq1mke0000v19mzln58lmj,2024-11-04 01:19:27.917,2024-11-04 01:19:27.917
cm32hrfde0009ln4eyx15ukq1,Gary Neville,https://api.sofascore.app/api/v1/player/745/image,cm2gq1mke0000v19mzln58lmj,2024-11-04 03:58:42.577,2024-11-04 03:58:42.577
cm32inhp30016ln4es2p2eton,Roy Keane,https://api.sofascore.app/api/v1/player/1421344/image,cm2gq1mke0000v19mzln58lmj,2024-11-04 04:23:38.583,2024-11-04 04:23:38.583
cm33wrzvm0018vhs9qyomqbif,Phil Jones,https://api.sofascore.app/api/v1/player/93868/image,cm2gq1mke0000v19mzln58lmj,2024-11-05 03:46:49.569,2024-11-05 03:46:49.569
cm33wzegt0028vhs9v1c1hd3x,Manuel Ugarte,https://api.sofascore.app/api/v1/player/846425/image,cm2gq1mke0000v19mzln58lmj,2024-11-05 03:52:35.068,2024-11-05 03:52:35.068
cm33x4k9w002gvhs9ruci07f2,Raphaël Varane,https://api.sofascore.app/api/v1/player/138310/image,cm2gq1mke0000v19mzln58lmj,2024-11-05 03:56:35.876,2024-11-05 03:56:35.876
